Бульвар Рокоссовского:#da322a,-1,55.8157679,37.7376328)
Бульвар Рокоссовского:#da322a,1,55.8150394,37.7320958)
Бульвар Рокоссовского:#da322a,1,55.8297855,37.7025607)
Бульвар Рокоссовского:#da322a,2,55.8153554,37.7329629)
Бульвар Рокоссовского:#da322a,3,55.8141448,37.7356449)
Бульвар Рокоссовского:#da322a,4,55.81349,37.7351292)
Бульвар Рокоссовского:#da322a,5,55.813253,37.7351473)
Сокольники:#da322a,1,55.7892372,37.6795222)
Сокольники:#da322a,2,55.7893142,37.6799344)
Черкизовская:#da322a,1,55.8027616,37.7445454)
Черкизовская:#da322a,1,55.8027561,37.7450113)
Черкизовская:#da322a,2,55.8047589,37.744615)
Черкизовская:#da322a,3,55.805146,37.7446111)
Черкизовская:#da322a,4,55.8031436,37.7455446)
Красные Ворота:#da322a,1,55.7683685,37.6480625)
Красные Ворота:#da322a,2,55.7698891,37.650378)
Чистые пруды:#da322a,1,55.7648351,37.6385472)
Чистые пруды:#da322a,2,55.7649903,37.6382372)
Автозаводская:#46ae5c,1,55.7054021,37.6628907)
Автозаводская:#46ae5c,1,55.7063262,37.6571774)
Автозаводская:#46ae5c,1,55.6984657,37.6505665)
Автозаводская:#46ae5c,2,55.7060489,37.6606784)
Автозаводская:#46ae5c,2,55.7084112,37.658275)
Автозаводская:#46ae5c,2,55.6994934,37.648555)
Автозаводская:#46ae5c,3,55.7086716,37.6573256)
Октябрьская:#e77a38,1,55.7292516,37.6113988)
Октябрьская:#e77a38,2,55.7293603,37.6108915)
Октябрьская:#e77a38,3,55.7313035,37.6126325)
Октябрьская:#e77a38,3,55.7311472,37.6129707)
Бабушкинская:#e77a38,1,55.8688052,37.6634259)
Бабушкинская:#e77a38,1,55.8707571,37.664401)
Бабушкинская:#e77a38,2,55.8703887,37.6642182)
Бабушкинская:#e77a38,2,55.868421,37.6632258)
Бабушкинская:#e77a38,3,55.8706234,37.6652875)
Бабушкинская:#e77a38,4,55.8702527,37.665099)
Медведково:#e77a38,1,55.88797,37.6614528)
Медведково:#e77a38,1,55.888147,37.6618422)
Медведково:#e77a38,2,55.8860387,37.6612818)
Первомайская:#006da8,1,55.7957218,37.7990027)
Первомайская:#006da8,2,55.7957378,37.7996675)
Первомайская:#006da8,3,55.7935927,37.7997449)
Первомайская:#006da8,4,55.7935852,37.7990779)
Коломенская:#46ae5c,1,55.67767,37.6645402)
Коломенская:#46ae5c,2,55.676768,37.6643976)
Коломенская:#46ae5c,4,55.677746,37.6630234)
Коломенская:#46ae5c,5,55.6792637,37.6633685)
Коломенская:#46ae5c,6,55.6796309,37.6634292)
Коломенская:#46ae5c,7,55.679535,37.6650152)
Коломенская:#46ae5c,8,55.6791517,37.6649467)
Фрунзенская:#da322a,1,55.7274044,37.5806973)
Менделеевская:#9c9c99,1,55.7794758,37.601074)
Менделеевская:#9c9c99,2,55.7813506,37.5987986)
Менделеевская:#9c9c99,3,55.7814675,37.5987012)
Менделеевская:#9c9c99,4,55.781879,37.5990489)
Третьяковская:#f8c73e,2,55.7407483,37.6256766)
Отрадное:#9c9c99,1,55.8643856,37.6045682)
Отрадное:#9c9c99,2,55.8643768,37.605376)
Отрадное:#9c9c99,3,55.864216,37.60607)
Отрадное:#9c9c99,4,55.8639648,37.606031)
Отрадное:#9c9c99,5,55.8625697,37.6045277)
Отрадное:#9c9c99,6,55.8622579,37.6042335)
Отрадное:#9c9c99,7,55.8624754,37.6034069)
Отрадное:#9c9c99,8,55.8628247,37.6037571)
Проспект Мира:#794835,1,55.7796007,37.6335681)
Проспект Мира:#e77a38,2,55.7818298,37.633347)
Бауманская:#006da8,1,55.7723457,37.6787584)
Бауманская:#006da8,1,55.7723658,37.6791968)
Ленинский проспект:#e77a38,-1,55.7084697,37.5874963)
Ленинский проспект:#e77a38,1,55.7068542,37.5851442)
Ленинский проспект:#e77a38,1,55.7069377,37.5849766)
Ленинский проспект:#e77a38,1,55.7071909,37.5857208)
Ленинский проспект:#e77a38,2,55.7070461,37.5865647)
Каширская:#79c5bf,-1,55.6544277,37.6479113)
Каширская:#79c5bf,-1,55.6555937,37.6495758)
Каширская:#79c5bf,1,55.6557198,37.6501614)
Каширская:#79c5bf,2,55.6542854,37.6473512)
Каширская:#79c5bf,3,55.654068,37.6477965)
Каширская:#79c5bf,4,55.655935,37.6496883)
Багратионовская:#00b8e0,2,55.74383,37.4981967)
Белорусская:#46ae5c,1,55.7754154,37.5825689)
Белорусская:#46ae5c,4,55.7772603,37.5821752)
Белорусская:#46ae5c,4,55.777547,37.5821259)
Белорусская:#46ae5c,4,55.7775066,37.5821994)
Смоленская:#00b8e0,-1,55.7479232,37.5837965)
Смоленская:#00b8e0,1,55.7489201,37.5822267)
Смоленская:#00b8e0,1,55.7489238,37.581818)
Смоленская:#00b8e0,1,55.7478843,37.5836293)
Филёвский парк:#00b8e0,1,55.7395823,37.4837186)
Филёвский парк:#00b8e0,2,55.7394029,37.4829279)
Театральная:#46ae5c,7,55.7561605,37.617738)
Театральная:#46ae5c,9,55.7588268,37.618054)
Театральная:#46ae5c,10,55.7567029,37.6195553)
Театральная:#46ae5c,10,55.7567735,37.6202267)
Молодёжная:#006da8,1,55.7412697,37.415772)
Молодёжная:#006da8,2,55.740222,37.417957)
Савёловская:#9c9c99,1,55.7941489,37.587136)
Савёловская:#9c9c99,2,55.7943147,37.5888613)
Савёловская:#9c9c99,3,55.7940774,37.5898235)
Савёловская:#9c9c99,3,55.7940639,37.5900357)
Савёловская:#9c9c99,4,55.7938929,37.5901731)
Савёловская:#9c9c99,5,55.7935687,37.5898653)
Войковская:#46ae5c,1,55.8410223,37.5204996)
Войковская:#46ae5c,1,55.812212,37.4860645)
Войковская:#46ae5c,1,55.8256067,37.4938672)
